personality_word,word_valence,mean_val,mean_img,mean_freq
Empathetic,Positive,80.8112244897959,55.4234693877551,39.7715736040609
Confident,Positive,80.8442211055276,76.5634517766497,69.4619289340101
Enthusiastic,Positive,80.9343434343434,75.4010152284264,59.4619289340102
Courageous,Positive,80.9497487437186,75.5228426395939,35.3147208121827
Fair,Positive,80.964824120603,55.2690355329949,72.9086294416244
Dedicated,Positive,81.0,57.3553299492386,52.1421319796954
Creative,Positive,81.0050251256281,74.741116751269,61.5482233502538
Impressive,Positive,81.0603015075377,60.3604060913706,62.2639593908629
Articulate,Positive,81.1015228426396,54.7291666666667,35.0102564102564
Efficient,Positive,81.1708542713568,60.4568527918782,63.2233502538071
Appreciative,Positive,81.9346733668342,61.0913705583756,51.2284263959391
Resourceful,Positive,82.0,50.9795918367347,42.0710659898477
Healthy,Positive,82.035175879397,85.756345177665,77.7055837563452
Independent,Positive,82.0452261306533,64.0203045685279,65.8781725888325
Faithful,Positive,82.1055276381909,62.9441624365482,43.2335025380711
Attractive,Positive,82.2562814070352,88.9746192893401,60.4213197969543
Clean,Positive,82.3838383838384,91.0304568527919,76.5736040609137
Punctual,Positive,82.4111675126904,68.0355329949239,38.005076142132
Admirable,Positive,82.462311557789,55.248730964467,38.2791878172589
Educated,Positive,82.6934673366834,73.9289340101523,54.8781725888325
Strong,Positive,82.7638190954774,89.6852791878173,70.8274111675127
Lovely,Positive,82.8542713567839,70.5380710659899,75.1827411167513
Capable,Positive,82.8592964824121,53.502538071066,54.1573604060914
Open-minded,Positive,82.8592964824121,48.7258883248731,51.6395939086294
Authentic,Positive,82.8643216080402,50.0355329949239,46.1269035532995
Honourable,Positive,83.3636363636364,59.3908629441624,33.0304568527919
Determined,Positive,83.9346733668342,66.8629441624365,58.8071065989848
Generous,Positive,83.964824120603,76.0406091370558,57.51269035533
Interesting,Positive,83.9849246231156,56.3857868020305,77.2335025380711
Wise,Positive,83.9949748743719,73.9796954314721,48.5482233502538
Respectful,Positive,84.1212121212121,63.0659898477157,55.2944162436548
Good-natured,Positive,84.2562814070352,63.7106598984772,38.5279187817259
Considerate,Positive,84.3165829145729,57.4822335025381,53.7055837563452
Warm,Positive,84.462311557789,82.5634517766497,74.9847715736041
Compassionate,Positive,84.6331658291457,67.6040609137056,46.1979695431472
Skillful,Positive,84.713567839196,69.9492385786802,45.1675126903553
Thoughtful,Positive,84.8592964824121,64.0913705583756,59.1015228426396
Lovable,Positive,85.286432160804,71.6192893401015,50.5888324873096
Responsible,Positive,85.2964824120603,59.8934010152284,65.7055837563452
Caring,Positive,85.5125628140703,76.3469387755102,63.9340101522843
Understanding,Positive,85.6683417085427,54.6852791878173,68.1421319796954
Smart,Positive,85.6984924623116,76.8934010152284,69.7969543147208
Loving,Positive,85.7688442211055,82.6142131979695,60.6852791878173
Approachable,Positive,85.8484848484848,62.1116751269036,46.5177664974619
Clever,Positive,85.8592964824121,73.9644670050761,66.3147208121827
Knowledgeable,Positive,85.8944723618091,67.8984771573604,56.2335025380711
Friendly,Positive,86.1515151515152,81.238578680203,71.9441624365482
Brilliant,Positive,86.1557788944724,60.8578680203046,68.8730964467005
Loyal,Positive,86.3869346733668,65.0609137055838,49.2030456852792
Reliable,Positive,87.0603015075377,55.4720812182741,63.2791878172589
Hardworking,Positive,87.1507537688442,79.761421319797,61.8020304568528
Intelligent,Positive,87.6130653266332,76.6192893401015,64.8477157360406
Kind,Positive,87.6733668341708,75.6040609137056,73.3147208121827
Genuine,Positive,88.6834170854271,49.3959390862944,59.507614213198
Trustworthy,Positive,89.1356783919598,56.1269035532995,55.3959390862944
Honest,Positive,89.3065326633166,57.7055837563452,67.761421319797
